"sp","type","mass","Freq"
"alchco","flower",193.8,10
"alchco","immature fruit",113,8
"alchco","leaf",4091.6,44
"alchco","mature fruit",505.7,55
"alsebl","flower",30.2,33
"alsebl","immature fruit",7.7,8
"alsebl","leaf",9500.2,59
"alsebl","mature fruit",528.7,58
"apeime","flower",1257.8,24
"apeime","immature fruit",57.5,5
"apeime","leaf",7663.3,47
"apeime","mature fruit",1748.4,24
"beilpe","flower",362.8,34
"beilpe","immature fruit",135.2,9
"beilpe","leaf",9165.2,55
"beilpe","mature fruit",1726.9,34
"brosal","flower",18.9,6
"brosal","immature fruit",0.1,1
"brosal","leaf",1159.8,37
"brosal","mature fruit",15,23
"cecrin","leaf",30.7,5
"cecrin","mature fruit",0.8,3
"cordbi","flower",6.8,18
"cordbi","immature fruit",22,3
"cordbi","leaf",1101.5,36
"cordbi","mature fruit",126.5,38
"guapst","flower",53.8,4
"guapst","immature fruit",275,2
"guapst","leaf",2921,19
"guapst","mature fruit",119.6,40
"guargu","flower",1206.4,38
"guargu","immature fruit",50.7,10
"guargu","leaf",8119.2,58
"guargu","mature fruit",1391.6,54
"guatdu","flower",2375.7,34
"guatdu","immature fruit",11.2,15
"guatdu","leaf",6649.2,59
"guatdu","mature fruit",54.8,59
"gustsu","leaf",30.4,5
"gustsu","mature fruit",9.3,2
"huracr","leaf",0.1,1
"huracr","mature fruit",0.2,1
"jac1co","flower",963.4,46
"jac1co","immature fruit",30.6,6
"jac1co","leaf",4230.3,60
"jac1co","mature fruit",326.9,60
"ocotwh","flower",0,11
"ocotwh","immature fruit",2.8,1
"ocotwh","leaf",772.3,29
"ocotwh","mature fruit",81.7,11
"poular","flower",0.9,1
"poular","leaf",449,15
"poular","mature fruit",1.9,11
"poutre","flower",517.8,21
"poutre","immature fruit",34.3,3
"poutre","leaf",5151.6,50
"poutre","mature fruit",123,25
"pri2co","flower",1856.1,41
"pri2co","immature fruit",499.6,10
"pri2co","leaf",14827.6,59
"pri2co","mature fruit",1947.9,8
"protte","flower",178,20
"protte","immature fruit",126.3,12
"protte","leaf",8326.3,59
"protte","mature fruit",242,47
"quaras","flower",1555.9,29
"quaras","immature fruit",93.3,8
"quaras","leaf",8935.3,49
"quaras","mature fruit",2086.7,54
"simaam","flower",60.3,15
"simaam","immature fruit",10.2,3
"simaam","leaf",1636.7,52
"simaam","mature fruit",28.1,28
"tab2ar","flower",0,2
"tab2ar","leaf",0.7,5
"tab2ar","mature fruit",0,1
"tet2pa","flower",609.2,34
"tet2pa","immature fruit",226.7,11
"tet2pa","leaf",18274.4,59
"tet2pa","mature fruit",1565.3,59
"tri2tu","flower",1506.2,26
"tri2tu","immature fruit",371,11
"tri2tu","leaf",9108.3,58
"tri2tu","mature fruit",1774.2,57
"virose","flower",68.8,36
"virose","immature fruit",54.2,8
"virose","leaf",3378,53
"virose","mature fruit",1035.2,54
"virosu","flower",382.2,28
"virosu","immature fruit",28.9,5
"virosu","leaf",6502.7,47
"virosu","mature fruit",302.3,42
"zantbe","flower",0,1
"zantbe","leaf",150.9,8
"zantbe","mature fruit",1.4,47
