sp,stat
"Anaxagorea
panamensis",di
"Beilschmiedia
pendula",di
"Cassipourea
elliptica",di
"Chamguava
schippii",di
Cordia bicolor,di
"Coussarea
curvigemmia",di
"Croton
billbergianus",di
"Hasseltia
floribunda",di
Jacaranda copaia,di
Laetia thamnia,di
Licania platypus,di
"Lonchocarpus
latifolia",di
Miconia affinis,di
Miconia nervosa,di
"Nectandra
cissiflora",di
Ocotea whitei,di
"Oenocarpus
mapoura",di
Olmedia aspera,di
Ouratea lucens,di
"Palicourea
guianensis",di
"Perebea
xanthochyma",di
Piper cordulatum,di
Prioria copaifera,di
"Protium
costaricense",di
"Protium
tenuifolium",di
"Psychotria
marginata",di
Pterocarpus rohrii,di
Simarouba amara,di
Sloanea terniflora,di
"Swartzia simplex
vs. ochnacea",di
"Tabernaemontana
arborea",di
"Tachigalia
versicolor",di
"Terminalia
oblonga",di
"Tetragastris
panamensis",di
Unonopsis pittieri,di
Virola sebifera,di
"Virola
surinamensis",di
"Xylopia
macrantha",di
Zanthoxylum,di
Poulsenia armata,di
"Protium
panamense",di
"Socratea
exorrhiza",di
"Symphonia
globulifera",di
"Calophyllum
longifolium",di
"Chrysochlamys
eclipes",di
"Guatteria
dumetorum",di
"Herrania
purpurea",di
Hirtella triandra,di
Inga cocleensis,di
Inga goldmanii,di
"Lacistema
aggregatum",di
Malmea sp. nov.,di
Ocotea puberula,di
Sorocea affinis,di
"Psychotria
grandis",di
Adelia triloba,dt
Alseis blackiana,dt
"Aspidosperma
cruenta",dt
Capparis frondosa,dt
Casearia aculeata,dt
Drypetes standleyi,dt
Eugenia nesiotica,dt
"Faramea
occidentalis",dt
Gustavia superba,dt
"Psychotria
horizontalis",dt
"Quararibea
asterolepis",dt
Randia armata,dt
Rinorea sylvatica,dt
Talisia nervosa,dt
Trichilia pallida,dt
"Trichilia
tuberculata",dt
"Desmopsis
panamensis",dt
Talisia princeps,dt
"Eugenia
galalonensis",dt
"Garcinia
intermedia",dt
"Swartzia simplex
vs. grandiflora",dt
"Triplaris
cumingiana",dt
